#module,uid,ProducerName,switches,file,rank,flushes,record_id,exe,max_byte,type,job_id,op,cnt,schema,seg:off,seg:pt_sel,seg:dur,seg:len,seg:ndims,seg:reg_hslab,seg:irreg_hslab,seg:npoints,seg:timestamp,seg:total,seg:start
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,1106,MOD,19047177,write,48,N/A,1096,-1,0.000000,11,-1,-1,-1,-1,1713585247.532603,0.000038,0.069331
STDIO,12345,n1119,-1,N/A,0,5,9223372036854775807,N/A,1106,MOD,19047177,write,48,N/A,1107,-1,0.000002,0,-1,-1,-1,-1,1713585247.532610,0.000041,0.069336
STDIO,12345,n1119,-1,N/A,0,5,9223372036854775807,N/A,1107,MOD,19047177,write,49,N/A,1107,-1,0.000000,1,-1,-1,-1,-1,1713585247.536912,0.000041,0.073640
STDIO,12345,n1119,-1,N/A,0,5,9223372036854775807,N/A,1222,MOD,19047177,write,50,N/A,1108,-1,0.000001,115,-1,-1,-1,-1,1713585247.536965,0.000042,0.073693
STDIO,12345,n1119,-1,N/A,0,5,9223372036854775807,N/A,1337,MOD,19047177,write,51,N/A,1223,-1,0.000000,115,-1,-1,-1,-1,1713585247.536983,0.000042,0.073710
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000028,28,-1,6251087433232356576,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.015123,-1,-1,-1,-1,-1,1713585247.554685,0.015123,0.076085
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000004,4,-1,3538761372112935884,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.006166,-1,-1,-1,-1,-1,1713585247.545729,0.006166,0.076234
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000024,24,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.008947,-1,-1,-1,-1,-1,1713585247.548510,0.008947,0.076131
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000000,0,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.018332,-1,-1,-1,-1,-1,1713585247.557899,0.018332,0.076295
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000018,18,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.016314,-1,-1,-1,-1,-1,1713585247.555876,0.016314,0.076122
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000006,6,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.010187,-1,-1,-1,-1,-1,1713585247.549749,0.010187,0.076291
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000020,20,-1,5239240597189811710,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.012843,-1,-1,-1,-1,-1,1713585247.552406,0.012843,0.076225
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000034,34,-1,1263931393636753115,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.020479,-1,-1,-1,-1,-1,1713585247.560045,0.020479,0.076136
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000010,10,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.019635,-1,-1,-1,-1,-1,1713585247.559198,0.019635,0.076234
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000016,16,-1,1076006301008737359,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.007406,-1,-1,-1,-1,-1,1713585247.546969,0.007406,0.076172
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000013,13,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.021536,-1,-1,-1,-1,-1,1713585247.561106,0.021536,0.076140
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000002,2,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.022931,-1,-1,-1,-1,-1,1713585247.562498,0.022931,0.076253
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000032,32,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.024551,-1,-1,-1,-1,-1,1713585247.564117,0.024551,0.076136
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000029,29,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.025937,-1,-1,-1,-1,-1,1713585247.565507,0.025937,0.076088
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000008,8,-1,4918092487825835404,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.027142,-1,-1,-1,-1,-1,1713585247.566704,0.027142,0.076292
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000009,9,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.028418,-1,-1,-1,-1,-1,1713585247.567989,0.028418,0.076243
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000014,14,-1,8990057193411188096,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.013966,-1,-1,-1,-1,-1,1713585247.553528,0.013966,0.076243
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000026,26,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.017576,-1,-1,-1,-1,-1,1713585247.557139,0.017576,0.076125
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000022,22,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.011761,-1,-1,-1,-1,-1,1713585247.551323,0.011761,0.076171
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000011,11,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.031214,-1,-1,-1,-1,-1,1713585247.570786,0.031214,0.076245
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000035,35,-1,4413220767894351061,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.029828,-1,-1,-1,-1,-1,1713585247.569404,0.029828,0.076094
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000030,30,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.002930,-1,-1,-1,-1,-1,1713585247.542492,0.002930,0.076163
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000007,7,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.032678,-1,-1,-1,-1,-1,1713585247.572250,0.032678,0.076183
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000033,33,-1,8368092880007751778,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.033598,-1,-1,-1,-1,-1,1713585247.573171,0.033598,0.076144
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000019,19,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.034901,-1,-1,-1,-1,-1,1713585247.574472,0.034901,0.076138
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000017,17,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.036336,-1,-1,-1,-1,-1,1713585247.575905,0.036336,0.076183
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000001,1,-1,1075859673363771012,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.037769,-1,-1,-1,-1,-1,1713585247.577343,0.037769,0.076246
