# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 99066
# jobid: 17209747
# start_time: 1694922577
# start_time_asci: Sat Sep 16 21:49:37 2023
# end_time: 1694922585
# end_time_asci: Sat Sep 16 21:49:45 2023
# nprocs: 32
# run time: 8.1868
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 143 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5669 bytes (compressed), ver=4
# LUSTRE module: 1202 bytes (compressed), ver=1
# STDIO module: 57 bytes (compressed), ver=2
# DXT_POSIX module: 10318 bytes (compressed), ver=1
# HEATMAP module: 6870 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/spwalto/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4   read        1        25165824       200000000      4.5650      4.6879
 X_POSIX       4   read        2       225165824       200000000      4.6880      4.8086
 X_POSIX       4   read        3       425165824       200000000      4.8087      4.9339
 X_POSIX       4   read        4       625165824       200000000      4.9340      5.0544
 X_POSIX       4   read        5       825165824       200000000      5.0545      5.1752
 X_POSIX       4   read        6      1025165824       200000000      5.1753      5.2966
 X_POSIX       4   read        7      1225165824       200000000      5.2966      5.4143
 X_POSIX       4   read        8      1425165824       400000000      5.4144      5.6595
 X_POSIX       4   read        9      1825165824       100000000      5.6595      5.7202

# DXT, file_id: 16469326234947104427, file_name: /pscratch/spwalto/haccTest/darshan-Part00000005-of-00000032.data
# DXT, rank: 5, hostname: ec3
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       5  write        0        25165824       200000000      1.9978      2.2256
 X_POSIX       5  write        1       225165824       200000000      2.2258      2.4382
 X_POSIX       5  write        2       425165824       200000000      2.4383      2.6574
 X_POSIX       5  write        3       625165824       200000000      2.6574      2.8789
 X_POSIX       5  write        4       825165824       200000000      2.8790      3.1043
 X_POSIX       5  write        5      1025165824       200000000      3.1044      3.3365
 X_POSIX       5  write        6      1225165824       200000000      3.3366      3.5689
 X_POSIX       5  write        7      1425165824       400000000      3.5689      4.0103
 X_POSIX       5  write        8      1825165824       100000000      4.0105      4.1128
 X_POSIX       5  write        9               0        25165824      4.1129      4.1376
 X_POSIX       5   read        0               0        25165824      4.1406      4.1535
 X_POSIX       5   read        1        25165824       200000000      4.1553      4.2694
 X_POSIX       5   read        2       225165824       200000000      4.2695      4.3804
 X_POSIX       5   read        3       425165824       200000000      4.3804      4.4900
 X_POSIX       5   read        4       625165824       200000000      4.4900      4.6022
 X_POSIX       5   read        5       825165824       200000000      4.6022      4.7116
 X_POSIX       5   read        6      1025165824       200000000      4.7116      4.8215
 X_POSIX       5   read        7      1225165824       200000000      4.8215      4.9319
 X_POSIX       5   read        8      1425165824       400000000      4.9320      5.1582
 X_POSIX       5   read        9      1825165824       100000000      5.1583      5.2138

# DXT, file_id: 11250573249789628784, file_name: /pscratch/spwalto/haccTest/darshan-Part00000006-of-00000032.data
# DXT, rank: 6, hostname: ec4
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       6  write        0        25165824       200000000      1.6618      1.8823
 X_POSIX       6  write        1       225165824       200000000      1.8825      2.1111
 X_POSIX       6  write        2       425165824       200000000      2.1112      2.3427
 X_POSIX       6  write        3       625165824       200000000      2.3428      2.5888
 X_POSIX       6  write        4       825165824       200000000      2.5889      2.8251
 X_POSIX       6  write        5      1025165824       200000000      2.8252      3.0738
 X_POSIX       6  write        6      1225165824       200000000      3.0739      3.3196
 X_POSIX       6  write        7      1425165824       400000000      3.3197      3.7933
 X_POSIX       6  write        8      1825165824       100000000      3.7934      3.9115
 X_POSIX       6  write        9               0        25165824      3.9116      3.9411
 X_POSIX       6   read        0               0        25165824      4.5311      4.5485
 X_POSIX       6   read        1        25165824       200000000      4.5498      4.6880
 X_POSIX       6   read        2       225165824       200000000      4.6881      4.8186
 X_POSIX       6   read        3       425165824       200000000      4.8187      4.9470
 X_POSIX       6   read        4       625165824       200000000      4.9471      5.0728
 X_POSIX       6   read        5       825165824       200000000      5.0729      5.1956
 X_POSIX       6   read        6      1025165824       200000000      5.1956      5.3178
 X_POSIX       6   read        7      1225165824       200000000      5.3179      5.4398
 X_POSIX       6   read        8      1425165824       400000000      5.4399      5.6977
 X_POSIX       6   read        9      1825165824       100000000      5.6978      5.7591

# DXT, file_id: 5644758706384895531, file_name: /pscratch/spwalto/haccTest/darshan-Part00000007-of-00000032.data
# DXT, rank: 7, hostname: ec4
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       7  write        0        25165824       200000000      2.2882      2.5360
 X_POSIX       7  write        1       225165824       200000000      2.5362      2.7629
 X_POSIX       7  write        2       425165824       200000000      2.7630      2.9894
 X_POSIX       7  write        3       625165824       200000000      2.9895      3.2144
 X_POSIX       7  write        4       825165824       200000000      3.2145      3.4518
 X_POSIX       7  write        5      1025165824       200000000      3.4519      3.6988
 X_POSIX       7  write        6      1225165824       200000000      3.6989      3.9455
 X_POSIX       7  write        7      1425165824       400000000      3.9456      4.3908
 X_POSIX       7  write        8      1825165824       100000000      4.3909      4.5003
 X_POSIX       7  write        9               0        25165824      4.5004      4.5274
 X_POSIX       7   read        0               0        25165824      4.5309      4.5472
 X_POSIX       7   read        1        25165824       200000000      4.5485      4.6787
 X_POSIX       7   read        2       225165824       200000000      4.6788      4.7998
 X_POSIX       7   read        3       425165824       200000000      4.7999      4.9220
 X_POSIX       7   read        4       625165824       200000000      4.9221      5.0405
 X_POSIX       7   read        5       825165824       200000000      5.0405      5.1583
 X_POSIX       7   read        6      1025165824       200000000      5.1584      5.2787
 X_POSIX       7   read        7      1225165824       200000000      5.2788      5.3970
 X_POSIX       7   read        8      1425165824       400000000      5.3971      5.6357
 X_POSIX       7   read        9      1825165824       100000000      5.6357      5.6957

# DXT, file_id: 6713185938115530105, file_name: /pscratch/spwalto/haccTest/darshan-Part00000008-of-00000032.data
# DXT, rank: 8, hostname: ec5
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       8  write        0        25165824       200000000      1.6583      1.8676
 X_POSIX       8  write        1       225165824       200000000      1.8677      2.0785
 X_POSIX       8  write        2       425165824       200000000      2.0786      2.2986
 X_POSIX       8  write        3       625165824       200000000      2.2986      2.5287
 X_POSIX       8  write        4       825165824       200000000      2.5288      2.7614
 X_POSIX       8  write        5      1025165824       200000000      2.7614      3.0023
 X_POSIX       8  write        6      1225165824       200000000      3.0024      3.2468
 X_POSIX       8  write        7      1425165824       400000000      3.2469      3.7187
 X_POSIX       8  write        8      1825165824       100000000      3.7188      3.8343
 X_POSIX       8  write        9               0        25165824      3.8344      3.8631
 X_POSIX       8   read        0               0        25165824      4.8560      4.8709
 X_POSIX       8   read        1        25165824       200000000      4.8724      5.0011
 X_POSIX       8   read        2       225165824       200000000      5.0011      5.1235
 X_POSIX       8   read        3       425165824       200000000      5.1236      5.2441
 X_POSIX       8   read        4       625165824       200000000      5.2441      5.3622
 X_POSIX       8   read        5       825165824       200000000      5.3623      5.4788
 X_POSIX       8   read        6      1025165824       200000000      5.4789      5.5976
 X_POSIX       8   read        7      1225165824       200000000      5.5977      5.7122
 X_POSIX       8   read        8      1425165824       400000000      5.7123      5.9485
 X_POSIX       8   read        9      1825165824       100000000      5.9486      6.0080

# DXT, file_id: 4160190120989571242, file_name: /pscratch/spwalto/haccTest/darshan-Part00000009-of-00000032.data
# DXT, rank: 9, hostname: ec5
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       9  write        0        25165824       200000000      2.2349      2.4760
 X_POSIX       9  write        1       225165824       200000000      2.4761      2.7000
 X_POSIX       9  write        2       425165824       200000000      2.7001      2.9277
 X_POSIX       9  write        3       625165824       200000000      2.9278      3.1567
 X_POSIX       9  write        4       825165824       200000000      3.1568      3.3846
 X_POSIX       9  write        5      1025165824       200000000      3.3847      3.6264
 X_POSIX       9  write        6      1225165824       200000000      3.6266      3.8696
 X_POSIX       9  write        7      1425165824       400000000      3.8697      4.2935
 X_POSIX       9  write        8      1825165824       100000000      4.2936      4.3965
 X_POSIX       9  write        9               0        25165824      4.3967      4.4224
 X_POSIX       9   read        0               0        25165824      4.4258      4.4374
 X_POSIX       9   read        1        25165824       200000000      4.4392      4.5547
 X_POSIX       9   read        2       225165824       200000000      4.5548      4.6720
 X_POSIX       9   read        3       425165824       200000000      4.6721      4.7855
 X_POSIX       9   read        4       625165824       200000000      4.7856      4.8996
 X_POSIX       9   read        5       825165824       200000000      4.8997      5.0155
 X_POSIX       9   read        6      1025165824       200000000      5.0156      5.1290
 X_POSIX       9   read        7      1225165824       200000000      5.1290      5.2434
 X_POSIX       9   read        8      1425165824       400000000      5.2435      5.4810
 X_POSIX       9   read        9      1825165824       100000000      5.4811      5.5400

# DXT, file_id: 9655269172325643443, file_name: /pscratch/spwalto/haccTest/darshan-Part00000010-of-00000032.data
# DXT, rank: 10, hostname: ec6
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX      10  write        0        25165824       200000000      2.6441      2.8738
 X_POSIX      10  write        1       225165824       200000000      2.8739      3.1046
 X_POSIX      10  write        2       425165824       200000000      3.1047      3.3349
 X_POSIX      10  write        3       625165824       200000000      3.3349      3.5714
 X_POSIX      10  write        4       825165824       200000000      3.5714      3.8059
 X_POSIX      10  write        5      1025165824       200000000      3.8060      4.0546
 X_POSIX      10  write        6      1225165824       200000000      4.0547      4.2956
 X_POSIX      10  write        7      1425165824       400000000      4.2956      4.7309
 X_POSIX      10  write        8      1825165824       100000000      4.7310      4.8405
 X_POSIX      10  write        9               0        25165824      4.8406      4.8674
 X_POSIX      10   read        0               0        25165824      4.8711      4.8845
 X_POSIX      10   read        1        25165824       200000000      4.8858      5.0142
 X_POSIX      10   read        2       225165824       200000000      5.0143      5.1396
 X_POSIX      10   read        3       425165824       200000000      5.1397      5.2595
 X_POSIX      10   read        4       625165824       200000000      5.2595      5.3787
 X_POSIX      10   read        5       825165824       200000000      5.3787      5.4949
 X_POSIX      10   read        6      1025165824       200000000      5.4949      5.6128
 X_POSIX      10   read        7      1225165824       200000000      5.6129      5.7303
 X_POSIX      10   read        8      1425165824       400000000      5.7304      5.9709
 X_POSIX      10   read        9      1825165824       100000000      5.9710      6.0315

# DXT, file_id: 5944192875413058633, file_name: /pscratch/spwalto/haccTest/darshan-Part00000011-of-00000032.data
# DXT, rank: 11, hostname: ec6
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX      11  write        0        25165824       200000000      1.9574      2.1746
 X_POSIX      11  write        1       225165824       200000000      2.1747      2.3924
 X_POSIX      11  write        2       425165824       200000000      2.3925      2.6082
 X_POSIX      11  write        3       625165824       200000000      2.6083      2.8393
 X_POSIX      11  write        4       825165824       200000000      2.8394      3.0755
 X_POSIX      11  write        5      1025165824       200000000      3.0755      3.3213
 X_POSIX      11  write        6      1225165824       200000000      3.3214      3.5590
 X_POSIX      11  write        7      1425165824       400000000      3.5591      4.0189
 X_POSIX      11  write        8      1825165824       100000000      4.0190      4.1342
 X_POSIX      11  write        9               0        25165824      4.1343      4.1625
 X_POSIX      11   read        0               0        25165824      4.1663      4.1828
 X_POSIX      11   read        1        25165824       200000000      4.1843      4.3197
 X_POSIX      11   read        2       225165824       200000000      4.3198      4.4503
 X_POSIX      11   read        3       425165824       200000000      4.4503      4.5773
 X_POSIX      11   read        4       625165824       200000000      4.5773      4.7054
 X_POSIX      11   read        5       825165824       200000000      4.7054      4.8326
 X_POSIX      11   read        6      1025165824       200000000      4.8327      4.9552
 X_POSIX      11   read        7      1225165824       200000000      4.9553      5.0779
 X_POSIX      11   read        8      1425165824       400000000      5.0780      5.3242
 X_POSIX      11   read        9      1825165824       100000000      5.3243      5.3854

# DXT, file_id: 8217146196684432982, file_name: /pscratch/spwalto/haccTest/darshan-Part00000012-of-00000032.data
# DXT, rank: 12, hostname: ec7
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX      12  write        0        25165824       200000000      1.6262      1.8433
 X_POSIX      12  write        1       225165824       200000000      1.8434      2.0669
 X_POSIX      12  write        2       425165824       200000000      2.0670      2.2946
 X_POSIX      12  write        3       625165824       200000000      2.2947      2.5203
 X_POSIX      12  write        4       825165824       200000000      2.5203      2.7508
 X_POSIX      12  write        5      1025165824       200000000      2.7509      2.9877
 X_POSIX      12  write        6      1225165824       200000000      2.9878      3.2235
 X_POSIX      12  write        7      1425165824       400000000      3.2236      3.6756
 X_POSIX      12  write        8      1825165824       100000000      3.6757      3.7884
 X_POSIX      12  write        9               0        25165824      3.7885      3.8144
 X_POSIX      12   read        0               0        25165824      4.5436      4.5583
 X_POSIX      12   read        1        25165824       200000000      4.5599      4.6886
 X_POSIX      12   read        2       225165824       200000000      4.6887      4.8141
 X_POSIX      12   read        3       425165824       200000000      4.8142      4.9395
 X_POSIX      12   read        4       625165824       200000000      4.9396      5.0581
 X_POSIX      12   read        5       825165824       200000000      5.0582      5.1729
 X_POSIX      12   read        6      1025165824       200000000      5.1730      5.2889
 X_POSIX      12   read        7      1225165824       200000000      5.2889      5.4007
 X_POSIX      12   read        8      1425165824       400000000      5.4007      5.6350
 X_POSIX      12   read        9      1825165824       100000000      5.6350      5.6936

# DXT, file_id: 5937040747949820936, file_name: /pscratch/spwalto/haccTest/darshan-Part00000013-of-00000032.data
# DXT, rank: 13, hostname: ec7
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX      13  write        0        25165824       200000000      1.6415      1.8614
 X_POSIX      13  write        1       225165824       200000000      1.8615      2.0782
 X_POSIX      13  write        2       425165824       200000000      2.0783      2.2957
 X_POSIX      13  write        3       625165824       200000000      2.2958      2.5118
 X_POSIX      13  write        4       825165824       200000000      2.5119      2.7383
 X_POSIX      13  write        5      1025165824       200000000      2.7384      2.9674
 X_POSIX      13  write        6      1225165824       200000000      2.9675      3.1989
 X_POSIX      13  write        7      1425165824       400000000      3.1990      3.6463
 X_POSIX      13  write        8      1825165824       100000000      3.6464      3.7605
 X_POSIX      13  write        9               0        25165824      3.7606      3.7888
 X_POSIX      13   read        0               0        25165824      3.7923      3.8050
 X_POSIX      13   read        1        25165824       200000000      3.8065      3.9209
 X_POSIX      13   read        2       225165824       200000000      3.9209      4.0308
 X_POSIX      13   read        3       425165824       200000000      4.0308      4.1417
 X_POSIX      13   read        4       625165824       200000000      4.1417      4.2489
 X_POSIX      13   read        5       825165824       200000000      4.2490      4.3551
 X_POSIX      13   read        6      1025165824       200000000      4.3551      4.4633
 X_POSIX      13   read        7      1225165824       200000000      4.4634      4.5755
 X_POSIX      13   read        8      1425165824       400000000      4.5756      4.8142
 X_POSIX      13   read        9      1825165824       100000000      4.8143      4.8738

# DXT, file_id: 3211260657156544696, file_name: /pscratch/spwalto/haccTest/darshan-Part00000014-of-00000032.data
# DXT, rank: 14, hostname: ec8
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX      14  write        0        25165824       200000000      2.3862      2.6131
 X_POSIX      14  write        1       225165824       200000000      2.6132      2.8403
 X_POSIX      14  write        2       425165824       200000000      2.8404      3.0647
 X_POSIX      14  write        3       625165824       200000000      3.0648      3.2973
 X_POSIX      14  write        4       825165824       200000000      3.2974      3.5275
 X_POSIX      14  write        5      1025165824       200000000      3.5276      3.7684
 X_POSIX      14  write        6      1225165824       200000000      3.7685      3.9951
 X_POSIX      14  write        7      1425165824       400000000      3.9952      4.4204
 X_POSIX      14  write        8      1825165824       100000000      4.4205      4.5313
 X_POSIX      14  write        9               0        25165824      4.5314      4.5571
 X_POSIX      14   read        0               0        25165824      4.5602      4.5745
 X_POSIX      14   read        1        25165824       200000000      4.5761      4.7030
 X_POSIX      14   read        2       225165824       200000000      4.7030      4.8260
 X_POSIX      14   read        3       425165824       200000000      4.8260      4.9472
 X_POSIX      14   read        4       625165824       200000000      4.9473      5.0599
 X_POSIX      14   read        5       825165824       200000000      5.0599      5.1704
 X_POSIX      14   read        6      1025165824       200000000      5.1705      5.2807
 X_POSIX      14   read        7      1225165824       200000000      5.2808      5.3927
 X_POSIX      14   read        8      1425165824       400000000      5.3927      5.6281
 X_POSIX      14   read        9      1825165824       100000000      5.6282      5.6869

# DXT, file_id: 13476757001019444066, file_name: /pscratch/spwalto/haccTest/darshan-Part00000015-of-00000032.data
# DXT, rank: 15, hostname: ec8
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX      15  write        0        25165824       200000000      1.6498      1.8529
